,price
493,505
494,3789
495,1684
496,530
497,795
498,8596
499,4498
500,3528
501,852
502,5423
503,7244
504,6521
505,912
506,4486
507,2834
508,2680
509,6982
510,4558
511,14402
512,9856
513,4213
514,11733
515,1377
516,4884
517,2940
518,675
519,683
520,4318
521,2882
522,3992
523,4140
524,1555
525,4470
526,2133
527,4317
528,4557
529,789
530,1577
531,2009
532,643
533,8008
534,1114
535,5655
536,2857
537,4685
538,1792
539,984
540,1033
541,842
542,666
543,7553
544,1684
545,558
546,3001
547,734
548,854
549,1061
550,5122
551,8377
552,4455
553,802
554,7773
555,2441
556,1417
557,6582
558,1436
559,746
560,8505
561,940
562,659
563,368
564,3006
565,1010
566,2017
567,4364
568,4964
569,3574
570,919
571,3987
572,1984
573,16128
574,3013
575,18112
576,3052
577,1715
578,659
579,558
580,4165
581,1192
582,1040
583,5145
584,4357
585,758
586,2273
587,8279
588,1701
589,5292
590,5944
591,4386
592,6817
593,607
594,2874
595,616
596,1175
597,11452
598,1176
599,12209
600,9905
601,3759
602,7405
603,922
604,2304
605,10716
606,4361
607,682
608,5944
609,760
610,1712
611,1437
612,2937
613,447
614,650
615,8928
616,2064
617,1409
618,3971
619,12794
620,4313
621,7182
622,9792
623,9731
624,539
625,1397
626,5052
627,2530
628,5022
629,3116
630,943
631,595
632,710
633,955
634,1746
635,1024
636,852
637,4802
638,6187
639,4133
640,4914
641,526
642,766
643,3763
644,4481
645,4022
646,2751
647,5759
648,4545
649,5211
650,1369
651,524
652,1235
653,8339
654,15729
655,5236
656,726
657,506
658,987
659,3489
660,536
661,3990
662,2930
663,1581
664,13317
665,558
666,735
667,8543
668,720
669,13284
670,457
671,11642
672,1214
673,1039
674,9129
675,1866
676,2230
677,2095
678,561
679,2596
680,1032
681,1323
682,3171
683,9570
684,1662
685,787
686,4917
687,1017
688,628
689,719
690,793
691,1088
692,1737
693,844
694,2225
695,1258
696,828
697,1141
698,1273
699,8283
700,17433
701,844
702,4513
703,900
704,8794
705,3808
706,2079
707,7661
708,942
709,1415
710,1740
711,12236
712,2717
713,2102
714,840
715,2907
716,3963
717,1206
718,2051
719,7943
720,2222
721,1211
722,2169
723,855
724,775
725,1858
726,6793
727,1848
728,6765
729,11048
730,2277
731,658
732,1056
733,5384
734,8268
735,852
736,10046
737,11146
738,886
739,12644
740,2360
741,5535
742,954
743,2803
744,1375
745,9483
746,3114
747,2548
748,6666
749,1116
750,4531
751,675
752,3239
753,561
754,12554
755,2383
756,872
757,10466
758,3445
759,949
760,5428
761,12996
762,454
763,826
764,823
765,1000
766,4064
767,11421
768,11294
769,3308
770,1803
771,844
772,1789
773,8212
774,11848
775,5219
776,5006
777,658
778,1976
779,596
780,622
781,4808
782,8242
783,1040
784,1917
785,596
786,3164
787,1588
788,2513
789,15788
790,526
791,5370
792,599
793,12052
794,5458
795,11322
796,8319
797,3818
798,8056
799,2199
800,1932
801,992
802,743
803,2652
804,861
805,2087
806,2201
807,645
808,2964
809,910
810,15941
811,11268
812,4879
813,480
814,625
815,386
816,2657
817,4740
818,6088
819,1134
820,5311
821,429
822,3965
823,8333
824,3818
825,12209
826,4581
827,421
828,4192
829,810
830,6776
831,4617
832,912
833,984
834,1857
835,749
836,700
837,12906
838,4758
839,1125
840,792
841,1000
842,4242
843,658
844,4884
845,421
846,1574
847,4188
848,5134
849,10771
850,2283
851,1031
852,477
853,780
854,2515
855,435
856,4072
857,3877
858,3812
859,910
860,1650
861,666
862,871
863,3740
864,3353
865,4355
866,2178
867,5702
868,10006
869,16309
870,525
871,2899
872,10398
873,4890
874,6618
875,1190
876,2699
877,13160
878,6968
879,17676
880,607
881,1664
882,6483
883,1619
884,710
885,7577
886,5342
887,4774
888,1786
889,3011
890,4513
891,2994
892,530
893,1817
894,666
895,5330
896,6326
897,776
898,6891
899,1044
900,447
901,3555
902,3599
903,3444
904,2372
905,1334
906,621
907,2166
908,1792
909,2155
910,3694
911,917
912,1179
913,6808
914,4721
915,8941
916,7928
917,1333
918,6687
919,642
920,5701
921,1107
922,1847
923,7666
924,8660
925,900
926,4372
927,1689
928,6248
929,16944
930,15992
931,7351
932,447
933,828
934,8662
935,752
936,2257
937,13782
938,4404
939,491
940,2679
941,1698
942,935
943,1581
944,2008
945,1786
946,2681
947,961
948,3581
949,1000
950,2030
951,17312
952,992
953,2335
954,6544
955,645
956,2577
957,12906
958,6843
959,1374
960,3844
961,2167
962,17095
963,4165
964,1586
965,7235
966,7140
967,2723
968,2614
969,984
970,1142
971,3709
972,2005
973,2479
974,625
975,1069
976,709
977,7759
978,8550
979,925
980,915
981,2400
982,504
983,10090
984,3112
985,3713
986,7687
987,2177
988,1569
989,2590
990,2671
991,1050
992,15847
993,1061
994,5969
995,615
996,3253
997,1018
998,3791
999,3534
1000,9377
1001,807
1002,4070
1003,1103
1004,1851
1005,3119
1006,2553
1007,2246
1008,1059
1009,544
1010,672
1011,2420
1012,895
1013,1172
1014,589
1015,18005
1016,1279
1017,14775
1018,1438
1019,1726
1020,1039
1021,6969
1022,16031
1023,16778
1024,17038
1025,12831
1026,4472
1027,752
1028,2317
1029,16037
1030,426
1031,749
1032,2184
1033,2058
1034,12956
1035,644
1036,1562
1037,645
1038,12308
1039,521
1040,811
1041,3797
1042,1235
1043,2180
1044,6058
1045,5701
1046,5318
1047,2210
1048,855
1049,3736
1050,419
1051,10618
1052,5661
1053,5111
1054,678
1055,2060
1056,921
1057,1656
1058,3427
1059,1959
1060,1020
1061,11081
1062,10463
1063,2683
1064,1846
1065,10137
1066,4435
1067,6577
1068,8733
1069,898
1070,1840
1071,1569
1072,633
1073,1173
1074,839
1075,1624
1076,596
1077,2356
1078,827
1079,2117
1080,5211
1081,2719
1082,559
1083,1323
1084,3212
1085,816
1086,17455
1087,2867
1088,3222
1089,1613
1090,4633
1091,2464
1092,8014
1093,6352
1094,3830
1095,704
1096,3378
1097,3502
1098,12717
1099,9072
1100,540
1101,1770
1102,6097
1103,878
1104,2199
1105,971
1106,2368
1107,1305
1108,2952
1109,1348
1110,4416
1111,2757
1112,644
1113,2215
1114,3154
1115,1352
1116,1243
1117,579
1118,1214
1119,4118
1120,3005
1121,2898
1122,1585
1123,7147
1124,1724
1125,4672
1126,2319
1127,843
1128,1265
1129,7233
1130,1200
1131,506
1132,4032
1133,936
1134,7387
1135,730
1136,4497
1137,1213
1138,4665
1139,536
1140,2902
1141,894
1142,912
1143,1368
1144,478
1145,4718
1146,1591
1147,4890
1148,802
1149,15992
1150,7972
1151,4586
1152,552
1153,642
1154,1625
1155,1422
1156,648
1157,4642
1158,6662
1159,837
1160,6595
1161,1080
1162,9494
1163,961
1164,9281
1165,5619
1166,1680
1167,2981
1168,4696
1169,5430
1170,4689
1171,855
1172,1935
1173,2501
1174,1033
1175,1999
1176,868
1177,4295
1178,2081
1179,616
1180,8491
1181,3797
1182,2437
1183,1770
1184,3881
1185,5722
1186,13397
1187,2846
1188,6616
1189,7621
1190,7635
1191,8759
1192,6214
1193,992
1194,1775
1195,787
1196,2365
1197,3387
1198,3669
1199,2040
1200,1602
1201,2716
1202,17898
1203,2735
1204,2629
1205,1264
1206,684
1207,492
1208,1836
1209,675
1210,868
1211,1580
1212,4968
1213,648
1214,756
1215,5020
1216,2514
1217,716
1218,14386
1219,1920
1220,2753
1221,4537
1222,577
1223,7503
1224,6648
1225,1226
1226,1715
1227,5132
1228,10618
1229,4360
1230,2805
1231,1386
1232,5373
1233,2376
1234,1926
1235,8205
1236,2724
1237,3471
1238,16004
1239,4018
1240,577
1241,1315
1242,1016
1243,603
1244,2351
1245,5628
1246,1050
1247,12342
1248,3601
1249,5466
1250,789
1251,2948
1252,1840
1253,1107
1254,17006
1255,5633
1256,7414
1257,2923
1258,571
1259,752
1260,17803
1261,4944
1262,2757
1263,1601
1264,710
1265,13587
1266,7727
1267,1814
1268,872
1269,17804
1270,1969
1271,2100
1272,4980
1273,15792
1274,1023
1275,1571
1276,658
1277,12672
1278,4022
1279,2266
1280,649
1281,838
1282,3360
1283,5883
1284,2298
1285,863
1286,3763
1287,4467
1288,12905
1289,6209
1290,3453
1291,4285
1292,4008
1293,990
1294,803
1295,5005
1296,1601
1297,8348
1298,790
1299,1356
1300,1996
1301,921
1302,15581
1303,589
1304,4905
1305,1007
1306,1563
1307,1026
1308,694
1309,4764
1310,5637
1311,625
1312,14266
1313,6810
1314,885
1315,4679
1316,1106
1317,8753
1318,5206
1319,1629
1320,7157
1321,10181
1322,755
1323,561
1324,812
1325,4988
1326,2198
1327,2030
1328,974
1329,1574
1330,1941
1331,3758
1332,1706
1333,4238
1334,898
1335,10824
1336,651
1337,3187
1338,3276
1339,1651
1340,3710
1341,11090
1342,1179
1343,18066
1344,2290
1345,3606
1346,7182
1347,4441
1348,3211
1349,2209
1350,4494
1351,13115
1352,709
1353,1343
1354,7459
1355,1087
1356,1129
1357,8847
1358,1076
1359,2398
1360,7877
1361,9777
1362,1114
1363,413
1364,8669
1365,787
1366,18374
1367,1207
1368,932
1369,676
1370,2529
1371,3270
1372,1689
1373,10607
1374,544
1375,2084
1376,706
1377,746
1378,2333
1379,907
1380,447
1381,5034
1382,1641
1383,6702
1384,1211
1385,2431
1386,3903
1387,2034
1388,13225
1389,4410
1390,9448
1391,943
1392,844
1393,9032
1394,4179
1395,7539
1396,1068
1397,2025
1398,895
1399,11214
1400,11190
1401,4830
1402,1323
1403,577
1404,1282
1405,585
1406,6787
1407,2872
1408,1656
1409,5599
1410,792
1411,16733
1412,5588
1413,6194
1414,11781
1415,3581
1416,673
1417,11888
1418,814
1419,1094
1420,928
1421,598
1422,18306
1423,14605
1424,3662
1425,2749
1426,7634
1427,4566
1428,1070
1429,707
1430,5184
1431,17126
1432,5988
1433,776
1434,1857
1435,1243
1436,5544
1437,408
1438,988
1439,3773
1440,7526
1441,2316
1442,1882
1443,655
1444,1046
1445,6787
1446,544
1447,4469
1448,1836
1449,10063
1450,3763
1451,2816
1452,2682
1453,1346
1454,750
1455,7276
1456,4465
1457,2835
1458,915
1459,7849
1460,573
1461,4095
1462,6330
1463,4563
1464,2213
1465,880
1466,5759
1467,6255
1468,1577
1469,2310
1470,652
1471,16914
1472,1841
1473,5878
1474,1775
1475,1056
1476,814
1477,4620
1478,2383
1479,7416
1480,1611
1481,1935
1482,3917
1483,12738
1484,1133
1485,854
1486,600
1487,2451
1488,739
1489,8587
1490,14973
1491,6890
1492,1073
1493,754
1494,6310
1495,4664
1496,2683
1497,12141
1498,12725
1499,4692
1500,779
1501,956
1502,1654
1503,1013
1504,4488
1505,866
1506,9996
1507,745
1508,2572
1509,1111
1510,573
1511,7748
1512,6653
1513,5367
1514,3192
1515,17068
1516,4603
1517,2001
1518,2846
1519,5664
1520,689
1521,2263
1522,3984
1523,5938
1524,1359
1525,491
1526,3980
1527,982
1528,807
1529,1389
1530,663
1531,7140
1532,470
1533,10962
1534,1654
1535,644
1536,706
1537,895
1538,844
1539,734
1540,1178
1541,1692
1542,1818
1543,2551
1544,9475
1545,2673
1546,1293
1547,5701
1548,8789
1549,1999
1550,1221
1551,445
1552,1079
1553,773
1554,4618
1555,5451
1556,1226
1557,6133
1558,10807
1559,5302
1560,1701
1561,3696
1562,1654
1563,11508
1564,6028
1565,516
1566,3422
1567,17203
1568,477
1569,6997
1570,12573
1571,858
1572,12152
1573,1911
1574,8258
1575,452
1576,4368
1577,958
1578,4678
1579,1576
1580,7584
1581,2085
1582,5548
1583,3332
1584,877
1585,2789
1586,3567
1587,1123
1588,3563
1589,494
1590,1815
1591,3850
1592,4516
1593,858
1594,9625
1595,405
1596,13372
1597,4068
1598,1755
1599,3878
1600,10824
1601,6867
1602,1556
1603,684
1604,1274
1605,705
1606,1053
1607,2766
1608,576
1609,458
1610,9425
1611,3328
1612,2585
1613,5143
1614,10959
1615,5171
1616,731
1617,658
1618,524
1619,2058
1620,5132
1621,642
1622,1035
1623,765
1624,956
1625,3400
1626,1050
1627,1748
1628,14083
1629,2902
1630,9465
1631,439
1632,1133
1633,7324
1634,4211
1635,6178
1636,1956
1637,9524
1638,1345
1639,600
1640,14542
1641,1175
1642,6097
1643,1598
1644,2242
1645,4543
1646,6324
1647,1931
1648,5892
1649,919
1650,1708
1651,15987
1652,710
1653,844
1654,1637
1655,5167
1656,6153
1657,844
1658,4204
1659,6897
1660,1374
1661,517
1662,589
1663,2528
1664,3574
1665,5243
1666,6031
1667,684
1668,1752
1669,503
1670,8226
1671,5466
1672,5609
1673,16987
1674,8922
1675,526
1676,6779
1677,3975
1678,6825
1679,709
1680,11500
1681,1699
1682,4497
1683,1181
1684,5078
1685,5418
1686,3414
1687,5373
1688,1158
1689,7560
1690,583
1691,7162
1692,3831
1693,1554
1694,4366
1695,14626
1696,4368
1697,773
1698,1305
1699,5822
1700,4811
1701,467
1702,802
1703,1843
1704,1286
1705,1637
1706,4659
1707,810
1708,13929
1709,6674
1710,3401
1711,7441
1712,2682
1713,2105
1714,4295
1715,680
1716,7397
1717,9841
1718,4851
1719,665
1720,6237
1721,2201
1722,15393
1723,9821
1724,8192
1725,534
1726,9596
1727,1038
1728,2804
1729,434
1730,6864
1731,5902
1732,1016
1733,4872
1734,5021
1735,394
1736,3876
1737,13063
1738,14426
1739,9450
1740,4714
1741,547
1742,1420
1743,893
1744,1436
1745,3400
1746,4325
1747,1604
1748,3342
1749,791
1750,1436
1751,11088
1752,2480
1753,1571
1754,740
1755,816
1756,1408
1757,7103
1758,3423
1759,3428
1760,682
1761,7813
1762,8772
1763,3048
1764,852
1765,2623
1766,2420
1767,916
1768,1983
1769,834
1770,734
1771,5546
1772,2042
1773,7714
1774,1074
1775,16808
1776,2700
1777,772
1778,9279
1779,794
1780,1015
1781,1716
1782,4830
1783,7508
1784,4326
1785,13811
1786,1659
1787,1031
1788,8013
1789,2285
1790,6328
1791,13666
1792,1060
1793,544
1794,12092
1795,1199
1796,1646
1797,3417
1798,3880
1799,1056
1800,2970
1801,12295
1802,734
1803,783
1804,1202
1805,1240
1806,1555
1807,707
1808,673
1809,1673
1810,11968
1811,5019
1812,743
1813,5902
1814,4785
1815,8649
1816,5801
1817,882
1818,2805
1819,1828
1820,4118
1821,15948
1822,4304
1823,1972
1824,756
1825,2318
1826,8764
1827,530
1828,669
1829,645
1830,716
1831,7651
1832,10428
1833,6708
1834,2058
1835,3188
1836,1312
1837,3560
1838,649
1839,666
1840,4961
1841,1867
1842,11574
1843,2839
1844,5739
1845,18318
1846,4862
1847,5973
1848,4326
1849,8114
1850,8079
1851,757
1852,2012
1853,7149
1854,10669
1855,3384
1856,778
1857,5780
1858,3008
1859,641
1860,4586
1861,3775
1862,1933
1863,4203
1864,10367
1865,935
1866,1007
1867,2593
1868,4514
1869,652
1870,2117
1871,2187
1872,4129
1873,7584
1874,4150
1875,2339
1876,3167
1877,1133
1878,4679
1879,5925
1880,10681
1881,789
1882,4936
1883,4722
1884,4989
1885,917
1886,10282
1887,1410
1888,1607
1889,394
1890,1865
1891,4553
1892,8752
1893,3897
1894,734
1895,483
1896,3129
1897,868
1898,1134
1899,2553
1900,4659
1901,2575
1902,638
1903,449
1904,943
1905,3082
1906,840
1907,10076
1908,3293
1909,776
1910,2909
1911,591
1912,1177
1913,707
1914,2398
1915,4304
1916,1722
1917,999
1918,11299
1919,838
1920,7016
1921,10122
1922,7066
1923,605
1924,1824
1925,17179
1926,3799
1927,6635
1928,1035
1929,5021
1930,3710
1931,814
1932,18531
1933,4390
1934,10498
1935,4675
1936,3868
1937,583
1938,4347
1939,15118
1940,675
1941,1024
1942,4633
1943,1097
1944,2451
1945,4009
1946,5829
1947,2370
1948,2974
1949,707
1950,16881
1951,1145
1952,1338
1953,9786
1954,668
1955,9301
1956,13061
1957,18507
1958,4563
1959,2551
1960,709
1961,3833
1962,391
1963,5620
1964,6629
1965,849
1966,3898
1967,8975
1968,12832
1969,620
1970,2177
1971,2553
1972,951
1973,2259
1974,666
1975,863
1976,1076
1977,3871
1978,818
1979,1082
1980,687
1981,464
1982,478
1983,12731
1984,3992
1985,11643
1986,511
1987,1229
1988,4400
1989,10219
1990,2300
1991,929
1992,3478
1993,1050
1994,4472
1995,608
1996,592
1997,2209
1998,2329
1999,5078
2000,5226
2001,1583
2002,852
2003,10935
2004,4022
2005,2318
2006,8266
2007,6272
2008,3062
2009,1738
2010,1422
2011,3045
2012,6754
2013,2355
2014,15083
2015,3107
2016,3896
2017,676
2018,1069
2019,1133
2020,505
2021,1867
2022,969
2023,619
2024,5802
2025,8629
2026,5599
2027,11472
2028,11644
2029,1290
2030,6238
2031,2189
2032,5370
2033,6511
2034,2258
2035,10861
2036,627
2037,784
2038,3250
2039,956
2040,9572
2041,508
2042,5888
2043,13119
2044,1805
2045,6162
2046,5989
2047,8131
2048,6416
2049,2862
2050,876
2051,6558
2052,3180
2053,489
2054,7286
2055,1851
2056,1168
2057,4222
2058,590
2059,612
2060,2423
2061,481
2062,10329
2063,1084
2064,878
2065,668
2066,1417
2067,8029
2068,789
2069,1798
2070,7569
2071,7839
2072,2029
2073,1885
2074,12670
2075,5030
2076,896
2077,3850
2078,1613
2079,907
2080,1410
2081,4244
2082,5351
2083,4200
2084,610
2085,16914
2086,6726
2087,1363
2088,1965
2089,6456
2090,7176
2091,2606
2092,3534
2093,14108
2094,667
2095,2482
2096,3951
2097,958
2098,3205
2099,880
2100,540
2101,1861
2102,2401
2103,2549
2104,2660
2105,2459
2106,6915
2107,2386
2108,7948
2109,1653
2110,1074
2111,536
2112,901
2113,10907
2114,5837
2115,1113
2116,1761
2117,1600
2118,608
2119,4201
2120,805
2121,9342
2122,2469
2123,743
2124,10011
2125,5306
2126,4332
2127,1291
2128,6809
2129,681
2130,2834
2131,1017
2132,764
2133,3373
2134,4171
2135,1382
2136,2649
2137,853
2138,1389
2139,5412
2140,487
2141,829
2142,9980
2143,6236
2144,565
2145,2443
2146,427
2147,1971
2148,436
2149,533
2150,805
2151,5588
2152,399
2153,5997
2154,4852
2155,421
2156,1827
2157,758
2158,2741
2159,2762
2160,7877
2161,1031
2162,8904
2163,1238
2164,665
2165,14037
2166,969
2167,961
2168,2788
2169,8919
2170,3989
2171,440
2172,1030
2173,924
2174,1929
2175,1712
2176,1436
2177,1120
2178,1013
2179,8396
2180,995
2181,684
2182,507
2183,942
2184,3931
2185,1046
2186,14285
2187,575
2188,14870
2189,1760
2190,3255
2191,3676
2192,755
2193,1207
2194,12844
2195,914
2196,1259
2197,2698
2198,7687
2199,3674
2200,579
2201,1450
2202,4693
2203,4099
2204,2358
2205,3726
2206,2306
2207,795
2208,1433
2209,9793
2210,1067
2211,470
2212,816
2213,1040
2214,2317
2215,6213
2216,8344
2217,890
2218,5020
2219,1656
2220,9645
2221,2568
2222,828
2223,606
2224,2726
2225,10927
2226,3004
2227,1767
2228,2777
2229,6755
2230,696
2231,2050
2232,14482
2233,13588
2234,711
2235,16629
2236,5067
2237,3449
2238,1216
2239,13828
2240,4483
2241,11087
2242,491
2243,6818
2244,500
2245,1706
2246,5008
2247,666
2248,1007
2249,6474
2250,9025
2251,6680
2252,630
2253,3181
2254,1397
2255,12862
2256,4355
2257,6523
2258,1050
2259,1013
2260,1970
2261,7389
2262,979
2263,544
2264,2838
2265,3869
2266,1624
2267,13253
2268,13825
2269,4565
2270,3665
2271,6639
2272,1221
2273,15785
2274,4564
2275,1656
2276,842
2277,495
2278,14616
2279,3011
2280,8213
2281,8004
2282,663
2283,6080
2284,6097
2285,4144
2286,5975
2287,4141
2288,1671
2289,1605
2290,571
2291,949
2292,16316
2293,2064
2294,7854
2295,789
2296,3008
2297,1662
2298,1028
2299,1721
2300,3475
2301,6130
2302,511
2303,8584
2304,537
2305,3089
2306,4591
2307,13930
2308,4255
2309,622
2310,969
2311,3574
2312,1666
2313,928
2314,505
2315,834
2316,949
2317,1084
2318,6470
2319,3618
2320,4469
2321,4419
2322,7310
2323,1433
2324,4455
2325,6160
2326,4363
2327,8771
2328,1559
2329,670
2330,4749
2331,576
2332,5497
2333,4174
2334,4704
2335,1742
2336,4732
2337,971
2338,1378
2339,11263
2340,709
2341,2889
2342,838
2343,8602
2344,7076
2345,1270
2346,1580
2347,3669
2348,1279
2349,4808
2350,947
2351,956
2352,2633
2353,5001
2354,4710
2355,9703
2356,984
2357,1654
2358,2113
2359,945
2360,1821
2361,2125
2362,2525
2363,810
2364,5132
2365,2148
2366,981
2367,7253
2368,8809
2369,877
2370,3977
2371,11337
2372,831
2373,8949
2374,4185
2375,3303
2376,6588
2377,1330
2378,4851
2379,7906
2380,3931
2381,12717
2382,4066
2383,6468
2384,2236
2385,6151
2386,6532
2387,4453
2388,536
2389,4201
2390,756
2391,1659
2392,536
2393,1176
2394,5096
2395,732
2396,575
2397,603
2398,6217
2399,12591
2400,3413
2401,570
2402,471
2403,9007
2404,1341
2405,3953
2406,1237
2407,1351
2408,12339
2409,907
2410,2518
2411,1563
2412,1245
2413,2374
2414,1446
2415,852
2416,753
2417,2336
2418,990
2419,9664
2420,778
2421,4258
2422,898
2423,7636
2424,4773
2425,839
2426,1138
2427,9987
2428,1389
2429,762
2430,1241
2431,1821
2432,891
2433,1331
2434,4118
2435,11435
2436,608
2437,2815
2438,18508
2439,5232
2440,12823
2441,814
2442,2288
2443,1865
2444,5924
2445,1245
2446,12743
2447,7655
2448,956
2449,7528
2450,5766
2451,507
2452,5163
2453,17530
2454,12554
2455,842
2456,933
2457,12829
2458,998
2459,1955
2460,7277
2461,984
2462,1827
2463,3353
2464,801
2465,5054
2466,7495
2467,2132
2468,4892
2469,2599
2470,2970
2471,3961
2472,6733
2473,762
2474,3471
2475,526
2476,756
2477,2288
2478,1636
2479,4769
2480,772
2481,4527
2482,1235
2483,711
2484,11157
2485,8537
2486,4677
2487,2910
2488,2788
2489,11111
2490,8288
2491,6437
2492,6291
2493,607
2494,673
2495,10589
2496,5415
2497,3787
2498,709
2499,4157
2500,6934
2501,17607
2502,6115
2503,3267
2504,6593
2505,9799
2506,3484
2507,964
2508,1689
2509,4759
2510,1889
2511,16253
2512,11062
2513,663
2514,2169
2515,6534
2516,1323
2517,11053
2518,776
2519,2258
2520,447
2521,4745
2522,7996
2523,3432
2524,3160
2525,15618
2526,6500
2527,4891
2528,4368
2529,418
2530,17667
2531,7056
2532,719
2533,7450
2534,942
2535,9023
2536,1095
2537,2574
2538,3017
2539,576
2540,1562
2541,5278
2542,5198
2543,11527
2544,17233
2545,765
2546,4401
2547,2928
2548,545
2549,2614
2550,3633
2551,885
2552,6586
2553,4209
2554,450
2555,4549
2556,8592
2557,746
2558,776
2559,6623
2560,1110
2561,505
2562,738
2563,8608
2564,11177
2565,2422
2566,2553
2567,1875
2568,3861
2569,866
2570,628
2571,3434
2572,1008
2573,752
2574,603
2575,2443
2576,810
2577,826
2578,779
2579,2443
2580,7275
2581,7882
2582,2373
2583,9072
2584,3511
2585,1052
2586,1813
2587,1627
2588,372
2589,1227
2590,447
2591,1398
2592,14749
2593,5722
2594,7492
2595,710
2596,5622
2597,5347
2598,4407
2599,8693
2600,641
2601,1668
2602,2211
2603,917
2604,2611
2605,6058
2606,2134
2607,2487
2608,1443
2609,7345
2610,702
