,carat,cut,color,clarity,depth,table,x,y,z,city,price
38,0.72,Very Good,E,SI1,57.9,58.0,5.92,5.96,3.44,Dubai,2610
39,1.04,Very Good,F,SI2,60.0,61.0,6.5,6.57,3.92,Dubai,4427
40,1.1,Premium,H,SI2,59.2,59.0,6.8,6.74,4.01,Dubai,3388
41,0.3,Very Good,H,SI1,60.8,61.0,4.25,4.3,2.6,Dubai,421
42,1.01,Ideal,D,SI2,61.6,57.0,6.32,6.45,3.93,Dubai,5051
43,1.32,Ideal,G,SI1,61.9,57.0,7.05,7.01,4.35,Dubai,7414
44,0.33,Ideal,E,VVS1,61.5,56.0,4.49,4.46,2.75,Dubai,1052
45,0.32,Premium,I,VVS2,60.7,59.0,4.4,4.43,2.68,Dubai,561
46,1.1,Ideal,H,SI2,62.6,56.0,6.65,6.57,4.14,Dubai,4620
47,0.54,Ideal,G,VS1,60.7,57.0,5.29,5.26,3.2,Dubai,2274
48,0.41,Very Good,D,SI1,62.9,58.0,4.7,4.75,2.97,Dubai,791
49,0.3,Ideal,G,IF,61.0,56.0,4.34,4.37,2.65,Dubai,844
50,0.7,Premium,H,SI1,62.0,58.0,5.65,5.71,3.52,Dubai,2155
51,0.52,Very Good,H,SI1,62.6,55.0,5.12,5.16,3.22,Dubai,1111
52,1.5,Premium,F,VS1,62.2,60.0,7.27,7.3,4.53,Dubai,15708
53,1.14,Premium,H,SI2,60.6,59.0,6.77,6.8,4.11,Dubai,4702
54,1.21,Premium,I,VS2,62.3,58.0,6.82,6.79,4.24,Dubai,5962
55,0.54,Ideal,I,SI1,62.3,55.0,5.22,5.27,3.27,Dubai,1586
56,0.72,Ideal,H,VVS1,61.8,56.0,5.75,5.78,3.56,Dubai,3708
57,0.3,Premium,G,IF,60.0,59.0,4.32,4.34,2.6,Dubai,895
58,0.32,Ideal,I,VVS1,61.9,55.0,4.39,4.4,2.72,Dubai,589
59,2.57,Premium,D,SI2,58.9,58.0,8.99,8.94,5.28,Dubai,17924
60,1.51,Premium,G,SI1,62.5,60.0,7.28,7.32,4.56,Dubai,10235
61,1.09,Ideal,H,VS2,61.5,54.0,6.64,6.65,4.09,Dubai,5732
62,0.31,Ideal,D,VS2,61.7,55.0,4.35,4.4,2.7,Dubai,734
63,0.8,Very Good,E,SI2,62.9,54.0,5.91,6.02,3.75,Dubai,2715
64,1.01,Ideal,G,VS2,61.9,58.0,6.37,6.43,3.96,Dubai,6449
65,0.54,Very Good,G,SI1,60.4,56.0,5.29,5.34,3.21,Dubai,1404
66,0.3,Ideal,D,VS2,62.3,54.0,4.3,4.33,2.69,Dubai,710
67,0.52,Premium,H,SI1,62.6,55.0,5.16,5.12,3.22,Dubai,1219
68,0.57,Very Good,E,VS1,62.9,57.0,5.27,5.29,3.32,Dubai,1883
69,0.31,Ideal,G,VS1,61.9,55.0,4.36,4.37,2.7,Dubai,583
70,2.08,Ideal,H,SI1,61.7,58.0,8.13,8.21,5.04,Dubai,17469
71,0.35,Ideal,F,VS2,60.5,57.0,4.6,4.52,2.76,Dubai,906
72,0.33,Ideal,H,VVS2,61.9,55.0,4.47,4.45,2.76,Dubai,854
73,0.51,Ideal,D,VS2,61.9,55.0,5.11,5.13,3.17,Dubai,1787
74,0.8,Ideal,F,VS2,61.3,55.0,5.98,6.0,3.67,Dubai,3913
75,0.99,Fair,J,SI1,55.0,61.0,6.72,6.67,3.68,Dubai,2812
76,0.71,Premium,F,SI1,60.2,60.0,5.79,5.71,3.46,Dubai,2345
77,1.01,Very Good,F,SI2,61.8,56.0,6.43,6.38,3.96,Dubai,4298
78,0.37,Ideal,E,SI1,61.4,56.0,4.6,4.65,2.84,Dubai,606
79,0.51,Ideal,E,SI1,61.1,56.0,5.2,5.17,3.17,Dubai,1443
80,1.01,Very Good,E,SI1,62.1,56.0,6.43,6.48,4.01,Dubai,5461
81,0.3,Very Good,E,SI1,63.2,56.0,4.3,4.27,2.71,Dubai,675
82,0.91,Ideal,F,SI2,62.7,57.0,6.16,6.21,3.88,Dubai,3642
83,0.5,Premium,F,VVS2,62.3,58.0,5.06,5.11,3.17,Dubai,2052
84,0.56,Ideal,D,VS2,60.6,56.0,5.37,5.33,3.24,Dubai,2066
85,0.31,Ideal,H,IF,62.0,54.0,4.38,4.4,2.72,Dubai,789
86,0.31,Ideal,H,VVS1,62.7,54.0,4.33,4.38,2.73,Dubai,707
87,0.5,Premium,G,VS1,60.8,60.0,5.16,5.14,3.13,Dubai,1629
88,0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,Dubai,888
89,0.9,Fair,I,VS1,65.2,60.0,6.0,5.96,3.9,Dubai,3387
90,1.82,Ideal,F,SI1,61.8,58.0,7.8,7.84,4.83,Dubai,15802
91,0.3,Ideal,E,SI1,62.9,56.0,4.31,4.24,2.69,Dubai,675
92,0.4,Good,I,VS1,63.8,55.0,4.69,4.65,2.98,Dubai,945
93,0.35,Premium,F,SI1,61.7,58.0,4.54,4.51,2.79,Dubai,748
94,0.33,Ideal,F,VS2,60.9,56.0,4.47,4.49,2.73,Dubai,619
95,1.0,Very Good,E,VVS2,59.5,59.0,6.54,6.58,3.9,Dubai,9139
96,0.41,Premium,E,VS1,60.1,58.0,4.81,4.84,2.9,Dubai,1079
97,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,Dubai,877
98,0.3,Premium,E,VS2,59.1,58.0,4.39,4.37,2.59,Dubai,844
99,0.46,Very Good,D,VS2,63.2,56.0,4.92,4.89,3.1,Dubai,1262
100,0.53,Ideal,F,SI2,62.4,54.0,5.19,5.22,3.25,Dubai,1078
101,1.01,Very Good,G,SI2,62.1,61.0,6.27,6.38,3.93,Dubai,3966
102,0.27,Ideal,E,VVS2,61.5,57.0,4.14,4.18,2.56,Dubai,620
103,0.61,Premium,D,SI2,60.8,57.0,5.48,5.4,3.31,Dubai,1308
104,0.9,Fair,D,SI2,64.7,59.0,6.09,5.99,3.91,Dubai,3205
105,1.08,Premium,E,SI1,59.6,60.0,6.73,6.66,3.99,Dubai,5908
106,0.39,Very Good,F,VVS2,61.7,56.0,4.7,4.74,2.91,Dubai,965
107,1.05,Good,G,SI2,63.2,54.0,6.49,6.52,4.11,Dubai,4241
108,1.52,Very Good,F,VVS2,63.7,57.0,7.28,7.31,4.65,Dubai,16786
109,0.34,Good,E,SI1,63.9,56.0,4.44,4.48,2.85,Dubai,596
110,0.55,Premium,F,VS2,62.7,58.0,5.28,5.25,3.3,Dubai,2376
111,0.44,Premium,G,VVS2,61.3,60.0,4.88,4.94,3.01,Dubai,1081
112,1.08,Premium,F,VS2,62.8,59.0,6.55,6.47,4.09,Dubai,7079
113,0.34,Premium,E,VS2,61.9,58.0,4.45,4.43,2.75,Dubai,956
114,0.43,Ideal,G,IF,62.4,54.0,4.84,4.87,3.03,Dubai,1318
115,0.64,Ideal,F,VVS2,60.9,56.0,5.57,5.59,3.4,Dubai,3217
116,0.34,Premium,E,SI1,61.8,58.0,4.47,4.5,2.77,Dubai,596
117,0.95,Premium,F,SI2,58.4,57.0,6.49,6.41,3.77,Dubai,2867
118,0.53,Ideal,J,SI2,61.9,54.0,5.2,5.23,3.23,Dubai,856
119,1.01,Premium,E,VS2,60.9,58.0,6.53,6.47,3.96,Dubai,7522
120,0.37,Ideal,F,VS1,61.0,55.0,4.66,4.69,2.85,Dubai,703
121,0.71,Good,I,SI1,60.9,64.0,5.72,5.67,3.47,Dubai,2087
122,0.33,Premium,G,VS1,60.5,58.0,4.43,4.49,2.7,Dubai,666
123,0.3,Ideal,G,IF,62.4,55.0,4.3,4.32,2.69,Dubai,799
124,0.4,Very Good,F,VVS1,62.9,55.0,4.71,4.74,2.97,Dubai,1111
125,0.9,Very Good,H,SI2,62.0,58.0,6.11,6.12,3.79,Dubai,3324
126,1.2,Very Good,J,SI2,61.4,55.0,6.85,6.92,4.23,Dubai,4636
127,0.57,Ideal,F,IF,61.3,56.0,5.32,5.36,3.28,Dubai,2656
128,1.13,Ideal,H,SI1,62.0,57.0,6.73,6.66,4.15,Dubai,5050
129,0.4,Ideal,H,VVS2,60.8,55.0,4.82,4.79,2.92,Dubai,1125
130,1.01,Very Good,F,SI1,61.9,57.0,6.37,6.42,3.96,Dubai,4619
131,1.14,Very Good,G,VS1,63.4,58.0,6.67,6.61,4.21,Dubai,7171
132,2.01,Very Good,E,SI2,63.3,61.0,7.86,7.8,4.96,Dubai,15618
133,0.31,Ideal,E,VVS2,62.4,53.0,4.33,4.35,2.71,Dubai,791
134,0.31,Very Good,G,VVS2,63.3,57.0,4.31,4.28,2.72,Dubai,907
135,0.7,Ideal,F,VS2,62.8,56.0,5.7,5.67,3.57,Dubai,2573
136,0.52,Ideal,D,VVS2,62.0,56.0,5.14,5.18,3.2,Dubai,2426
137,1.29,Very Good,F,SI2,63.4,57.0,6.92,6.77,4.35,Dubai,4977
138,0.4,Very Good,G,VS2,61.9,59.0,4.67,4.7,2.9,Dubai,772
139,0.39,Ideal,I,IF,62.3,54.0,4.69,4.71,2.93,Dubai,895
140,1.5,Ideal,H,VVS1,61.2,57.0,7.34,7.4,4.51,Dubai,14304
141,0.32,Good,F,VVS2,62.5,61.0,4.32,4.38,2.72,Dubai,619
142,0.73,Ideal,D,VS1,61.5,58.0,5.76,5.79,3.55,Dubai,4196
143,1.15,Very Good,E,IF,59.2,57.0,6.78,6.86,4.04,Dubai,12895
144,1.68,Ideal,G,VS1,62.0,55.0,7.59,7.66,4.73,Dubai,16985
145,0.39,Ideal,H,SI2,61.5,57.0,4.66,4.7,2.88,Dubai,558
146,0.55,Very Good,E,VS2,61.4,57.0,5.27,5.29,3.24,Dubai,1786
147,0.35,Ideal,H,VS1,61.8,57.0,4.53,4.56,2.81,Dubai,646
148,0.7,Premium,D,SI2,62.8,61.0,5.61,5.57,3.51,Dubai,2348
149,0.54,Ideal,E,VS2,62.8,55.0,5.21,5.24,3.28,Dubai,1713
150,0.31,Ideal,G,VS1,61.9,56.0,4.38,4.34,2.7,Dubai,695
151,0.75,Premium,E,VS2,61.8,58.0,5.85,5.83,3.61,Dubai,3150
152,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,Dubai,1046
153,1.13,Premium,F,IF,59.8,60.0,6.82,6.76,4.06,Dubai,12722
154,1.14,Premium,I,SI1,62.2,58.0,6.7,6.67,4.16,Dubai,4788
155,0.58,Ideal,H,VS1,62.3,57.0,5.33,5.36,3.33,Dubai,1764
156,0.3,Ideal,F,VVS1,61.2,55.0,4.33,4.36,2.66,Dubai,802
157,0.48,Ideal,I,VS1,62.2,54.0,5.03,5.06,3.14,Dubai,944
158,2.01,Premium,I,SI1,60.9,60.0,8.1,8.06,4.92,Dubai,15528
159,0.59,Very Good,D,VS2,62.9,56.7,5.37,5.39,3.38,Dubai,2200
160,1.51,Very Good,I,SI2,62.5,59.0,7.27,7.32,4.56,Dubai,7400
161,0.91,Premium,J,SI1,62.8,59.0,6.19,6.14,3.87,Dubai,2905
162,0.51,Very Good,G,VS2,63.4,55.0,5.06,5.03,3.2,Dubai,1443
163,0.33,Very Good,E,SI1,63.4,55.0,4.4,4.37,2.78,Dubai,743
164,1.01,Premium,E,SI1,61.8,60.0,6.36,6.4,3.94,Dubai,5279
165,1.54,Premium,I,SI1,60.9,59.0,7.42,7.46,4.53,Dubai,8258
166,0.27,Very Good,F,VVS1,62.0,55.0,4.16,4.16,2.59,Dubai,591
167,0.33,Premium,I,SI1,60.4,59.0,4.5,4.54,2.73,Dubai,434
168,1.26,Very Good,E,VS2,59.5,57.0,7.03,7.15,4.22,Dubai,9802
169,0.53,Ideal,F,VS2,62.3,55.0,5.2,5.17,3.23,Dubai,1683
170,0.39,Ideal,F,IF,61.0,56.0,4.72,4.75,2.89,Dubai,1377
171,0.44,Premium,G,SI1,61.0,60.0,4.88,4.93,2.99,Dubai,772
172,2.07,Premium,I,SI2,60.5,60.0,8.32,8.27,5.02,Dubai,15055
173,0.91,Premium,E,SI2,61.0,58.0,6.31,6.27,3.84,Dubai,3644
174,1.01,Good,E,VVS2,63.9,58.0,6.31,6.37,4.05,Dubai,8415
175,0.38,Very Good,G,SI1,62.0,54.8,4.64,4.67,2.89,Dubai,755
176,1.0,Fair,G,SI2,68.3,54.0,6.21,6.12,4.2,Dubai,3142
177,0.3,Ideal,F,VVS1,62.6,55.0,4.28,4.31,2.69,Dubai,814
178,0.31,Premium,E,VVS1,61.8,59.0,4.31,4.33,2.67,Dubai,789
179,0.43,Ideal,H,SI1,60.7,54.0,4.96,4.92,3.0,Dubai,891
180,0.59,Ideal,I,VS2,61.8,56.0,5.39,5.42,3.34,Dubai,1371
181,0.52,Ideal,G,VS1,62.1,54.0,5.17,5.14,3.2,Dubai,1743
182,0.82,Good,H,VS2,62.4,54.0,5.97,6.04,3.75,Dubai,2947
183,1.39,Premium,E,SI2,62.7,58.0,6.99,7.11,4.42,Dubai,7311
184,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,Dubai,2001
185,0.82,Very Good,E,SI1,63.2,57.0,5.92,5.97,3.76,Dubai,2741
186,1.01,Good,G,VVS2,63.4,55.0,6.34,6.41,4.04,Dubai,6843
187,0.33,Ideal,E,VVS1,61.2,56.0,4.45,4.51,2.74,Dubai,984
188,0.9,Very Good,G,SI1,62.6,60.0,6.09,6.14,3.83,Dubai,3919
189,1.1,Ideal,F,VS1,61.5,56.0,6.63,6.66,4.09,Dubai,9669
190,0.23,Very Good,H,VVS2,59.2,61.0,4.0,4.04,2.38,Dubai,389
191,1.02,Very Good,G,VS2,63.4,59.0,6.32,6.3,4.0,Dubai,6169
192,1.03,Fair,D,SI2,66.4,56.0,6.31,6.19,4.15,Dubai,3743
193,0.37,Premium,F,SI2,60.2,60.0,4.7,4.6,2.8,Dubai,624
194,1.21,Premium,I,VS1,61.2,59.0,6.86,6.84,4.19,Dubai,5540
195,1.21,Fair,F,SI2,65.3,53.0,6.74,6.68,4.38,Dubai,5028
196,1.8,Ideal,H,SI1,62.2,57.0,7.79,7.71,4.82,Dubai,9399
197,0.5,Premium,E,VS2,60.3,58.0,5.15,5.13,3.1,Dubai,1920
198,1.5,Fair,H,SI1,68.0,59.0,7.12,6.82,4.76,Dubai,6340
199,0.25,Ideal,F,VVS2,61.7,56.0,4.06,4.07,2.51,Dubai,705
200,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2,Dubai,1340
201,1.09,Very Good,F,VVS1,61.4,58.0,6.6,6.65,4.07,Dubai,10463
202,1.73,Premium,H,SI1,62.0,59.0,7.68,7.59,4.73,Dubai,12058
203,2.01,Ideal,G,SI2,62.8,56.0,8.07,8.02,5.05,Dubai,15841
204,0.4,Ideal,F,VVS1,61.7,56.0,4.75,4.72,2.92,Dubai,1323
205,1.01,Very Good,H,VS2,61.0,63.0,6.41,6.38,3.9,Dubai,5050
206,1.23,Premium,D,SI1,62.5,58.0,6.85,6.79,4.27,Dubai,7715
207,0.56,Ideal,G,SI1,61.5,56.0,5.31,5.32,3.27,Dubai,1633
208,0.52,Very Good,E,VS1,61.8,60.0,5.14,5.18,3.19,Dubai,2021
209,0.53,Ideal,H,VS1,61.6,57.0,5.18,5.24,3.21,Dubai,1577
210,0.33,Premium,H,VS1,62.4,60.0,4.39,4.42,2.75,Dubai,540
211,1.3,Ideal,D,SI1,61.8,56.0,6.93,6.96,4.29,Dubai,9242
212,0.31,Very Good,J,SI1,62.7,59.0,4.29,4.32,2.7,Dubai,363
213,0.41,Ideal,F,VS1,62.1,56.0,4.74,4.76,2.95,Dubai,1007
214,1.02,Ideal,E,SI1,60.4,55.0,6.54,6.48,3.93,Dubai,5278
215,0.3,Premium,H,VVS2,62.0,58.0,4.3,4.35,2.68,Dubai,605
216,0.93,Premium,G,VS2,62.2,59.0,6.26,6.21,3.88,Dubai,4750
217,1.03,Ideal,G,VS1,62.1,57.0,6.44,6.47,4.01,Dubai,6558
218,1.51,Premium,I,SI2,58.7,59.0,7.53,7.49,4.41,Dubai,7292
219,0.35,Ideal,E,VS2,62.1,56.0,4.53,4.52,2.81,Dubai,984
220,1.52,Very Good,G,VS1,62.1,57.0,7.27,7.32,4.53,Dubai,12968
221,1.5,Ideal,F,VS2,61.9,56.0,7.33,7.31,4.53,Dubai,15584
222,0.34,Ideal,D,SI1,61.5,53.0,4.53,4.51,2.78,Dubai,803
223,2.0,Premium,H,SI1,59.8,60.0,8.04,8.01,4.8,Dubai,13986
224,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,Dubai,4028
225,0.4,Very Good,G,VVS2,63.2,55.0,4.72,4.74,2.99,Dubai,868
226,0.41,Very Good,D,SI1,60.3,63.0,4.8,4.78,2.89,Dubai,920
227,0.31,Premium,J,SI1,60.9,60.0,4.36,4.38,2.66,Dubai,363
228,0.38,Very Good,G,VS1,60.7,55.0,4.71,4.74,2.87,Dubai,1031
229,1.1,Very Good,F,VS2,60.6,58.0,6.67,6.77,4.07,Dubai,7509
230,0.51,Ideal,H,VVS1,61.8,55.0,5.15,5.18,3.19,Dubai,1776
231,0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,Dubai,743
232,1.01,Premium,H,SI2,61.6,59.0,6.44,6.39,3.95,Dubai,4242
233,0.9,Premium,H,SI1,62.7,58.0,6.14,6.2,3.87,Dubai,3545
234,1.5,Good,I,SI1,62.9,60.0,7.12,7.16,4.49,Dubai,8161
235,0.88,Good,J,VS1,64.0,56.0,5.98,5.9,3.8,Dubai,1964
236,0.55,Ideal,E,VS1,62.2,55.0,5.22,5.26,3.26,Dubai,1975
237,0.34,Ideal,D,VS1,61.1,55.0,4.52,4.55,2.77,Dubai,838
238,1.01,Good,F,SI2,65.7,58.0,6.12,6.2,4.05,Dubai,4049
239,1.01,Very Good,F,IF,59.6,62.0,6.47,6.56,3.88,Dubai,9965
240,0.7,Ideal,H,VVS1,62.3,58.0,5.66,5.7,3.54,Dubai,2866
241,2.2,Ideal,I,SI1,61.7,55.0,8.37,8.41,5.18,Dubai,17895
242,1.01,Premium,F,VS2,62.1,60.0,6.43,6.36,3.97,Dubai,6097
243,2.03,Ideal,E,SI2,62.3,56.0,8.11,8.09,5.05,Dubai,14308
244,0.35,Ideal,E,VS2,62.0,57.0,4.51,4.55,2.81,Dubai,767
245,0.9,Very Good,I,SI2,61.5,61.0,6.13,6.16,3.78,Dubai,3057
246,0.91,Very Good,E,SI2,63.8,60.0,6.05,6.09,3.87,Dubai,3751
247,0.51,Good,E,SI1,63.6,59.0,5.13,5.06,3.24,Dubai,1170
248,0.58,Premium,I,VVS1,62.6,59.0,5.31,5.27,3.31,Dubai,1758
249,0.47,Very Good,F,SI2,63.3,59.0,4.9,4.86,3.09,Dubai,1058
250,2.03,Ideal,G,SI1,60.3,56.0,8.27,8.21,4.97,Dubai,16224
251,1.16,Very Good,I,VS2,62.6,59.0,6.63,6.69,4.17,Dubai,4869
252,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,Dubai,756
253,0.7,Premium,G,SI1,62.8,58.0,5.66,5.62,3.54,Dubai,2352
254,0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,Dubai,2203
255,0.41,Ideal,E,VS1,61.9,55.0,4.8,4.76,2.96,Dubai,1153
256,0.5,Ideal,E,VS1,61.1,58.0,5.12,5.08,3.11,Dubai,2034
257,0.34,Premium,G,VS2,61.2,58.0,4.46,4.5,2.74,Dubai,596
258,0.7,Fair,J,VS2,67.4,58.0,5.34,5.37,3.61,Dubai,1896
259,0.36,Ideal,G,SI1,61.4,55.0,4.61,4.64,2.84,Dubai,571
260,0.93,Ideal,E,SI1,62.2,55.0,6.24,6.27,3.89,Dubai,4374
261,0.55,Ideal,F,VVS2,60.8,56.0,5.27,5.32,3.22,Dubai,2294
262,1.21,Very Good,I,SI1,62.9,56.0,6.73,6.79,4.25,Dubai,5245
263,1.02,Very Good,E,VS2,60.0,59.0,6.54,6.59,3.94,Dubai,6915
264,0.31,Ideal,E,IF,61.5,56.0,4.35,4.4,2.69,Dubai,1214
265,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,Dubai,3838
266,1.13,Fair,H,SI1,65.3,59.0,6.52,6.44,4.23,Dubai,5771
267,1.0,Ideal,D,SI1,61.7,57.0,6.39,6.42,3.95,Dubai,5489
268,1.06,Ideal,F,I1,61.8,55.0,6.55,6.58,4.06,Dubai,3544
269,1.59,Ideal,J,VS1,62.1,55.0,7.47,7.51,4.65,Dubai,8925
270,0.64,Very Good,F,SI1,61.2,58.0,5.54,5.6,3.41,Dubai,1725
271,0.7,Good,H,VS2,63.9,59.0,5.64,5.6,3.59,Dubai,2351
272,1.01,Premium,J,SI2,61.9,59.0,6.38,6.34,3.94,Dubai,3658
273,0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,Dubai,895
274,0.71,Premium,H,VS2,62.2,59.0,5.68,5.64,3.52,Dubai,2352
275,0.31,Ideal,G,VVS1,62.3,56.0,4.34,4.37,2.71,Dubai,772
276,0.9,Very Good,E,SI1,62.0,62.0,6.11,6.21,3.82,Dubai,4144
277,1.01,Ideal,F,SI1,60.0,56.0,6.55,6.49,3.91,Dubai,5274
278,0.31,Very Good,E,VS1,61.9,56.0,4.32,4.37,2.69,Dubai,636
279,1.0,Fair,F,SI2,65.1,55.0,6.26,6.23,4.07,Dubai,3265
280,0.92,Ideal,H,SI1,60.5,57.0,6.27,6.32,3.81,Dubai,4325
281,0.97,Ideal,G,SI2,61.6,56.0,6.31,6.39,3.91,Dubai,4743
282,0.6,Premium,F,SI2,58.9,59.0,5.55,5.52,3.26,Dubai,1378
283,0.32,Ideal,E,VS2,61.3,56.0,4.41,4.46,2.72,Dubai,612
284,0.56,Very Good,D,IF,62.5,59.0,5.26,5.3,3.3,Dubai,4025
285,0.43,Very Good,E,VVS2,59.3,59.0,4.95,4.97,2.94,Dubai,1291
286,0.31,Very Good,I,VS2,61.5,55.0,4.34,4.36,2.68,Dubai,442
287,2.0,Fair,H,SI2,68.7,55.0,7.9,7.67,5.35,Dubai,9549
288,1.02,Premium,J,VS2,61.6,58.0,6.4,6.35,3.93,Dubai,3513
289,0.7,Premium,G,VS2,61.8,60.0,5.67,5.63,3.49,Dubai,2479
290,0.4,Very Good,H,VS2,62.1,56.0,4.72,4.75,2.94,Dubai,746
291,0.92,Ideal,F,SI2,61.5,53.0,6.26,6.3,3.86,Dubai,4691
292,0.5,Ideal,G,VVS1,61.8,54.0,5.13,5.16,3.18,Dubai,1865
293,0.35,Premium,H,VS1,61.3,59.0,4.57,4.54,2.79,Dubai,788
294,1.22,Very Good,J,SI1,62.2,59.0,6.77,6.8,4.22,Dubai,5029
295,0.4,Ideal,F,VVS2,60.4,56.0,4.79,4.82,2.9,Dubai,994
296,1.02,Ideal,G,VVS2,61.8,56.0,6.42,6.46,3.98,Dubai,9286
297,0.33,Ideal,H,VVS2,60.9,57.0,4.48,4.52,2.74,Dubai,666
298,1.0,Very Good,E,SI2,59.5,63.0,6.41,6.47,3.83,Dubai,4004
299,1.64,Premium,E,SI2,61.9,61.0,7.54,7.51,4.66,Dubai,8835
300,0.81,Premium,J,SI1,61.4,60.0,5.98,5.94,3.66,Dubai,1917
301,0.56,Ideal,H,VS2,60.9,57.0,5.32,5.36,3.25,Dubai,1388
302,1.01,Premium,H,SI2,59.4,59.0,6.53,6.56,3.89,Dubai,3999
303,1.02,Premium,F,SI2,62.5,58.0,6.47,6.4,4.02,Dubai,3754
304,2.0,Fair,H,SI2,67.9,55.0,7.67,7.58,5.18,Dubai,10913
305,0.35,Premium,D,VS2,59.7,58.0,4.57,4.61,2.74,Dubai,829
306,0.91,Very Good,J,SI2,62.0,56.0,6.18,6.23,3.85,Dubai,3181
307,2.02,Very Good,G,SI2,63.1,57.0,8.01,7.97,5.04,Dubai,12094
308,1.04,Premium,H,SI2,58.6,60.0,6.67,6.63,3.9,Dubai,4368
309,1.55,Ideal,D,VS2,62.1,59.0,7.34,7.37,4.57,Dubai,15887
310,0.3,Ideal,G,IF,61.8,55.0,4.32,4.36,2.68,Dubai,863
311,0.41,Ideal,E,VVS2,61.9,56.0,4.75,4.78,2.95,Dubai,1187
312,0.33,Premium,G,VS1,61.6,58.0,4.39,4.44,2.72,Dubai,666
